id,title,product,slug,description,file_path
98d96bd9-b467-4b6b-9f69-d6933e01f719,CallDetect,realtime-sdk,reference/voice/call-detect,"CallDetect object reference for detecting call conditions including answering machines, fax tones, and DTMF digits during voice calls.",realtime-sdk/pages/v3/tech-ref/voice/calldetect.mdx
fe8ef89a-de7e-43e9-a38c-04af4f6702c8,CallPlayback,realtime-sdk,reference/voice/call-playback,"CallPlayback object reference for playing audio, TTS, ringtones, and silence during voice calls. Control playback with pause, resume, and volume methods.",realtime-sdk/pages/v3/tech-ref/voice/callplayback.mdx
37d63a5a-6251-4f0f-85fe-c467ddb665f9,CallPrompt,realtime-sdk,reference/voice/call-prompt,CallPrompt object reference for playing prompts and collecting input simultaneously during voice calls. Combine audio/TTS playback with digit/speech collection.,realtime-sdk/pages/v3/tech-ref/voice/callprompt.mdx
58373590-2b47-466f-9118-58e2ea14b036,CallRecording,realtime-sdk,reference/voice/call-recording,"CallRecording object reference for recording voice calls. Control recordings with pause, resume, and stop methods. Access recording URLs and metadata.",realtime-sdk/pages/v3/tech-ref/voice/callrecording.mdx
7d07c09d-3d7e-46af-b04d-3c9cf92aceb9,CallState,realtime-sdk,reference/voice/call-state,"CallState event payload reference for tracking voice call state changes. Monitor call lifecycle from created through answered, ending, and ended states.",realtime-sdk/pages/v3/tech-ref/voice/callstate.mdx
6e551082-4cf4-4cdb-91a9-638b891b5151,CallTap,realtime-sdk,reference/voice/call-tap,CallTap object reference for tapping voice call audio streams. Stream call audio to external destinations via RTP for monitoring or recording.,realtime-sdk/pages/v3/tech-ref/voice/calltap.mdx
f5ac5044-4fbd-4c05-b5cf-a74d22bbf244,Events,realtime-sdk,reference/voice/client/events,Events available on the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/events.mdx
ff1e62ac-0124-46dd-8f4a-fa47e982544d,Voice Client,realtime-sdk,reference/voice/client,Voice Client reference for initiating and receiving calls.,realtime-sdk/pages/v3/tech-ref/voice/client/index.mdx
19febe54-0ed5-4aac-a7af-0f540e861d3d,dial,realtime-sdk,reference/voice/client/methods/dial,dial method for the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/dial.mdx
77f42eae-308d-4a5c-b504-50f3c4701122,dialPhone,realtime-sdk,reference/voice/client/methods/dial-phone,dialPhone method for the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/dialphone.mdx
9f4fb6f0-c50a-4048-9d13-e3279e688c38,dialSip,realtime-sdk,reference/voice/client/methods/dial-sip,dialSip method for the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/dialsip.mdx
d1167863-b2f7-4544-9606-7d2a7851ff17,disconnect,realtime-sdk,reference/voice/client/methods/disconnect,disconnect method for the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/disconnect.mdx
f012403f-0c18-4ddb-944b-ec8839246104,listen,realtime-sdk,reference/voice/client/methods/listen,listen method for the Voice Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/listen.mdx
03d03b18-1576-481e-ad26-2dd0214e19dc,off,realtime-sdk,reference/voice/client/methods/off,off method for the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/off.mdx
f50860c8-f8bd-41e5-b2cc-cb3622cae852,on,realtime-sdk,reference/voice/client/methods/on,on method for the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/on.mdx
a2c44bd4-879f-49b2-a585-8de566dd9414,once,realtime-sdk,reference/voice/client/methods/once,once method for the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/once.mdx
e66f8502-4b99-4bcb-9b9a-3a437f000a2b,removeAllListeners,realtime-sdk,reference/voice/client/methods/remove-all-listeners,removeAllListeners method for the Client class.,realtime-sdk/pages/v3/tech-ref/voice/client/methods/removealllisteners.mdx
f0bdfe3e-5643-4106-b2be-bd0c93387267,Voice,realtime-sdk,reference/voice,"Access the Voice API to make and receive phone calls programmatically. Includes methods for call control, playback, recording, and speech detection.",realtime-sdk/pages/v3/tech-ref/voice/index.mdx
44d79f54-557a-4483-8817-3b4c22f9c9fa,Types,realtime-sdk,reference/voice/types,"Voice namespace type definitions including SIP headers, codecs, call directions, device types, and voice language options for text-to-speech.",realtime-sdk/pages/v3/tech-ref/voice/types.mdx
e56f3fd0-820f-4846-943b-0f8bb0c71aa5,Call,realtime-sdk,reference/voice/call,"Voice Call object reference with methods for call control including answer, hangup, play audio, record, collect digits, detect speech, and transfer calls.",realtime-sdk/pages/v3/tech-ref/voice/voice-call.mdx
89d75ebc-bf42-4347-9424-cb35c809837e,Client,realtime-sdk,reference/voice/client,"Voice Client reference for initiating and receiving phone calls. Includes methods for dialing, listening to events, and managing active calls.",realtime-sdk/pages/v3/tech-ref/voice/voice-client.mdx
7c642603-7e55-4c16-a125-6c21e3379d66,Voice.DeviceBuilder,realtime-sdk,reference/voice/device-builder,DeviceBuilder reference for creating phone and SIP device configurations. Build device lists for parallel or serial dialing when connecting calls.,realtime-sdk/pages/v3/tech-ref/voice/voice-devicebuilder.mdx
8e713e38-693b-4c01-8663-31707fbac3f5,Playlist,realtime-sdk,reference/voice/playlist,"Playlist reference for building media sequences with audio files, TTS, ringtones, and silence. Chain multiple media items for playback during voice calls.",realtime-sdk/pages/v3/tech-ref/voice/voice-playlist.mdx
35610872-2be6-4e59-9819-ff57a18b5181,Introduction to SWML,swml,/swml,"Get started with SWML (SignalWire Markup Language), a markup and scripting language for quickly writing powerful communication applications in YAML or JSON documents.",swml/pages/get-started/index.mdx
c6ba0503-6116-476c-bf6b-6254227c4b16,Deploy SWML from web servers,swml,/swml/guides/deployment,Learn how to serve SWML scripts from web servers and RELAY applications.,swml/pages/guides/basics/deployment.mdx
96578205-400a-41f1-9199-7500495236e4,Control program flow,swml,/swml/guides/methods/goto_execute_transfer_disambiguation,"Learn how to use the goto, execute, and transfer methods in SWML.",swml/pages/guides/basics/goto-execute-transfer.mdx
7b38e27c-1248-4ae7-9ef2-06ef992270bb,Send simple HTTP requests,swml,/swml/guides/methods/request,Learn how to use the request method in SWML to send HTTP requests to a web server.,swml/pages/guides/basics/request.mdx
4694ab58-dc99-4c45-bb98-f218cf69daf9,Handle incoming calls from code,swml,/swml/guides/remote_server,Learn how to handle incoming calls from a remote server using SWML.,swml/pages/guides/basics/swml_remote_server.mdx
