old_url,current_url,proposed_url,action,category,confidence,doc_id,fern_file,notes
/sdks/realtime-sdk/v2/language/ruby/calling/actions,/realtime-sdk/v2/reference/ruby/calling/actions,/realtime-sdk/v2/reference/ruby/calling/actions,redirect,matched_changed,1.000,b92c8d82-40d2-4df7-8574-1f0ddc3f3b11,realtime-sdk/pages/v2/language/ruby/calling/actions/index.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/actions/connect,/realtime-sdk/v2/reference/ruby/calling/actions/connect,/realtime-sdk/v2/reference/ruby/calling/actions/connect,redirect,matched_changed,1.000,9007337f-35a4-453d-abc9-3a47a87b9b51,realtime-sdk/pages/v2/language/ruby/calling/actions/connect.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/actions/detect,/realtime-sdk/v2/reference/ruby/calling/actions/detect,/realtime-sdk/v2/reference/ruby/calling/actions/detect,redirect,matched_changed,1.000,a8fd2761-ca87-4116-85dc-0426f87c544c,realtime-sdk/pages/v2/language/ruby/calling/actions/detect.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/actions/fax,/realtime-sdk/v2/reference/ruby/calling/actions/fax,/realtime-sdk/v2/reference/ruby/calling/actions/fax,redirect,matched_changed,1.000,8b1a7b19-32a0-484c-9549-58267b546eca,realtime-sdk/pages/v2/language/ruby/calling/actions/fax.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/actions/play,/realtime-sdk/v2/reference/ruby/calling/actions/play,/realtime-sdk/v2/reference/ruby/calling/actions/play,redirect,matched_changed,1.000,13f8b8d3-edb0-4507-a7af-72bc5690740c,realtime-sdk/pages/v2/language/ruby/calling/actions/play.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/actions/prompt,/realtime-sdk/v2/reference/ruby/calling/actions/prompt,/realtime-sdk/v2/reference/ruby/calling/actions/prompt,redirect,matched_changed,1.000,052950fb-c661-47df-b1c6-a6f46f240eb0,realtime-sdk/pages/v2/language/ruby/calling/actions/prompt.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/actions/record,/realtime-sdk/v2/reference/ruby/calling/actions/record,/realtime-sdk/v2/reference/ruby/calling/actions/record,redirect,matched_changed,1.000,ba8f0e77-fcd7-4bcb-a824-c73ac419dcec,realtime-sdk/pages/v2/language/ruby/calling/actions/record.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/actions/send-digits,/realtime-sdk/v2/reference/ruby/calling/actions/send-digits,/realtime-sdk/v2/reference/ruby/calling/actions/send-digits,redirect,matched_changed,1.000,0cb98f44-04d7-4637-b377-049a527e57f6,realtime-sdk/pages/v2/language/ruby/calling/actions/send-digits.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/actions/tap,/realtime-sdk/v2/reference/ruby/calling/actions/tap,/realtime-sdk/v2/reference/ruby/calling/actions/tap,redirect,matched_changed,1.000,480b4cad-56a7-4786-9a6b-79af738a5805,realtime-sdk/pages/v2/language/ruby/calling/actions/tap.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/call,/realtime-sdk/v2/reference/ruby/calling/call,/realtime-sdk/v2/reference/ruby/calling/call,redirect,matched_changed,1.000,ba10d66d-6765-4ae4-90bb-527689aed2ff,realtime-sdk/pages/v2/language/ruby/calling/call.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results,/realtime-sdk/v2/reference/ruby/calling/results,/realtime-sdk/v2/reference/ruby/calling/results,redirect,matched_changed,1.000,9439e86c-5522-4f66-b649-5f799d0e2328,realtime-sdk/pages/v2/language/ruby/calling/results/index.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/answer-result,/realtime-sdk/v2/reference/ruby/calling/results/answer,/realtime-sdk/v2/reference/ruby/calling/results/answer,redirect,matched_changed,1.000,71f0ca12-7a41-4346-aa57-647fddf8c226,realtime-sdk/pages/v2/language/ruby/calling/results/answer-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/connect-result,/realtime-sdk/v2/reference/ruby/calling/results/connect,/realtime-sdk/v2/reference/ruby/calling/results/connect,redirect,matched_changed,1.000,e17630fe-f201-4128-bc8c-5d0590e2e1fa,realtime-sdk/pages/v2/language/ruby/calling/results/connect-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/detect-result,/realtime-sdk/v2/reference/ruby/calling/results/detect,/realtime-sdk/v2/reference/ruby/calling/results/detect,redirect,matched_changed,1.000,db93463a-dd87-4dad-9af5-13974f26b890,realtime-sdk/pages/v2/language/ruby/calling/results/detect-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/dial-result,/realtime-sdk/v2/reference/ruby/calling/results/dial,/realtime-sdk/v2/reference/ruby/calling/results/dial,redirect,matched_changed,1.000,19c6f22a-6d33-4298-bdd0-a8d7ffb4afcc,realtime-sdk/pages/v2/language/ruby/calling/results/dial-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/fax-result,/realtime-sdk/v2/reference/ruby/calling/results/fax,/realtime-sdk/v2/reference/ruby/calling/results/fax,redirect,matched_changed,1.000,57a8feae-ac96-4880-9a24-a0f5c9ff0c40,realtime-sdk/pages/v2/language/ruby/calling/results/fax-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/hangup-result,/realtime-sdk/v2/reference/ruby/calling/results/hangup,/realtime-sdk/v2/reference/ruby/calling/results/hangup,redirect,matched_changed,1.000,28badfbe-dcd6-4acb-9889-b567a82cd4e8,realtime-sdk/pages/v2/language/ruby/calling/results/hangup-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/play-pause-result,/realtime-sdk/v2/reference/ruby/calling/results/play-pause,/realtime-sdk/v2/reference/ruby/calling/results/play-pause,redirect,matched_changed,1.000,a18ece35-5dbe-4c84-85e2-276fc908227e,realtime-sdk/pages/v2/language/ruby/calling/results/play-pause-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/play-result,/realtime-sdk/v2/reference/ruby/calling/results/play,/realtime-sdk/v2/reference/ruby/calling/results/play,redirect,matched_changed,1.000,ad946690-9c97-4187-aeef-dc0accc33cc0,realtime-sdk/pages/v2/language/ruby/calling/results/play-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/play-resume-result,/realtime-sdk/v2/reference/ruby/calling/results/play-resume,/realtime-sdk/v2/reference/ruby/calling/results/play-resume,redirect,matched_changed,1.000,fa017cf8-0963-426c-be76-da00caab227b,realtime-sdk/pages/v2/language/ruby/calling/results/play-resume-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/play-volume-result,/realtime-sdk/v2/reference/ruby/calling/results/play-volume,/realtime-sdk/v2/reference/ruby/calling/results/play-volume,redirect,matched_changed,1.000,4218f0bf-26b4-4147-a613-98c0630c0bf5,realtime-sdk/pages/v2/language/ruby/calling/results/play-volume-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/prompt-result,/realtime-sdk/v2/reference/ruby/calling/results/prompt,/realtime-sdk/v2/reference/ruby/calling/results/prompt,redirect,matched_changed,1.000,8a45ced7-8d2d-4289-bad5-57abb9a7bbd1,realtime-sdk/pages/v2/language/ruby/calling/results/prompt-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/prompt-volume-result,/realtime-sdk/v2/reference/ruby/calling/results/prompt-volume,/realtime-sdk/v2/reference/ruby/calling/results/prompt-volume,redirect,matched_changed,1.000,3614efe9-8c0d-46fd-a7a7-7d0e4bbb6a96,realtime-sdk/pages/v2/language/ruby/calling/results/prompt-volume-result.mdx,
/sdks/realtime-sdk/v2/language/ruby/calling/results/record-result,/realtime-sdk/v2/reference/ruby/calling/results/record,/realtime-sdk/v2/reference/ruby/calling/results/record,redirect,matched_changed,1.000,80e88a46-7e4f-4c8a-bc6d-ce2b8f1d30bd,realtime-sdk/pages/v2/language/ruby/calling/results/record-result.mdx,
