old_url,match_type,matched_fern_file,matched_slug,new_slug,confidence,match_method,notes
/compatibility-api/client-sdks/methods/conferences,slug_changed,compatibility-api\pages\sdks\methods\conferences\index.mdx,sdks/methods/conferences,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/conferences/list,slug_changed,compatibility-api\pages\sdks\methods\conferences\list.mdx,sdks/methods/conferences/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/conferences/retrieve,slug_changed,compatibility-api\pages\sdks\methods\conferences\retrieve.mdx,sdks/methods/conferences/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/conferences/update,slug_changed,compatibility-api\pages\sdks\methods\conferences\update.mdx,sdks/methods/conferences/update,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/cxml-applications,slug_changed,compatibility-api\pages\sdks\methods\cxml-applications\index.mdx,sdks/methods/cxml-applications,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/cxml-applications/create,slug_changed,compatibility-api\pages\sdks\methods\cxml-applications\create.mdx,sdks/methods/cxml-applications/create,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/cxml-applications/delete,slug_changed,compatibility-api\pages\sdks\methods\cxml-applications\delete.mdx,sdks/methods/cxml-applications/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/cxml-applications/list,slug_changed,compatibility-api\pages\sdks\methods\cxml-applications\list.mdx,sdks/methods/cxml-applications/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/cxml-applications/retrieve,slug_changed,compatibility-api\pages\sdks\methods\cxml-applications\retrieve.mdx,sdks/methods/cxml-applications/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/cxml-applications/update,slug_changed,compatibility-api\pages\sdks\methods\cxml-applications\update.mdx,sdks/methods/cxml-applications/update,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/fax-media,slug_changed,compatibility-api\pages\sdks\methods\fax-media\index.mdx,sdks/methods/fax-media,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/fax-media/delete,slug_changed,compatibility-api\pages\sdks\methods\fax-media\delete.mdx,sdks/methods/fax-media/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/fax-media/list-all,uncertain,compatibility-api/pages/sdks/methods/fax-media/list-all-media.mdx,sdks/methods/fax-media/list-all,/reference/fax-media/list-all,0.592,body=0.615 fname=0.500,
/compatibility-api/client-sdks/methods/fax-media/retrieve,slug_changed,compatibility-api\pages\sdks\methods\fax-media\retrieve.mdx,sdks/methods/fax-media/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/faxes,slug_changed,compatibility-api\pages\sdks\methods\faxes\index.mdx,sdks/methods/faxes,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/faxes/delete,slug_changed,compatibility-api\pages\sdks\methods\faxes\delete.mdx,sdks/methods/faxes/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/faxes/list,slug_changed,compatibility-api\pages\sdks\methods\faxes\list.mdx,sdks/methods/faxes/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/faxes/retrieve,slug_changed,compatibility-api\pages\sdks\methods\faxes\retrieve.mdx,sdks/methods/faxes/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/faxes/send,slug_changed,compatibility-api\pages\sdks\methods\faxes\send.mdx,sdks/methods/faxes/send,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/faxes/update,slug_changed,compatibility-api\pages\sdks\methods\faxes\update.mdx,sdks/methods/faxes/update,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
