doc_id,title,slug,file_path,product
b9da829c-670b-4c4f-8e06-7d9e3b776b42,createScreenShareObject,/reference/video/room-session/create-screen-share-object,browser-sdk\pages\latest\reference\video\RoomSession\methods\createscreenshareobject.mdx,browser-sdk
af622ec0-05e6-48b2-9df8-b755fd118188,deaf,/reference/video/room-session/deaf,browser-sdk\pages\latest\reference\video\RoomSession\methods\deaf.mdx,browser-sdk
2d08caa0-6b13-48de-8ffd-523717a8b390,deleteMemberMeta,/reference/video/room-session/delete-member-meta,browser-sdk\pages\latest\reference\video\RoomSession\methods\deletemembermeta.mdx,browser-sdk
e503df7c-b9f5-40a5-9ed1-c21cf95e3980,deleteMeta,/reference/video/room-session/delete-meta,browser-sdk\pages\latest\reference\video\RoomSession\methods\deletemeta.mdx,browser-sdk
a6367e13-ab3f-4c56-9083-212061ee8ae6,demote,/reference/video/room-session/demote,browser-sdk\pages\latest\reference\video\RoomSession\methods\demote.mdx,browser-sdk
e139d10f-86aa-4603-8fcf-62110083c3e7,destroy,/reference/video/room-session/destroy,browser-sdk\pages\latest\reference\video\RoomSession\methods\destroy.mdx,browser-sdk
7c4fda67-b470-4d3a-86e4-afbc66a0528c,getLayouts,/reference/video/room-session/get-layouts,browser-sdk\pages\latest\reference\video\RoomSession\methods\getlayouts.mdx,browser-sdk
57a77bef-5873-4227-b5f6-44fc2cb7354e,getMemberMeta,/reference/video/room-session/get-member-meta,browser-sdk\pages\latest\reference\video\RoomSession\methods\getmembermeta.mdx,browser-sdk
3335afb2-6f2c-4f49-9495-cbd6b0eb937c,getMembers,/reference/video/room-session/get-members,browser-sdk\pages\latest\reference\video\RoomSession\methods\getmembers.mdx,browser-sdk
bfddc095-4e83-4e1c-9c7f-95de42ee3633,getMeta,/reference/video/room-session/get-meta,browser-sdk\pages\latest\reference\video\RoomSession\methods\getmeta.mdx,browser-sdk
73eb23e0-557c-41c5-a13f-5e861cdc6f8b,getPlaybacks,/reference/video/room-session/get-playbacks,browser-sdk\pages\latest\reference\video\RoomSession\methods\getplaybacks.mdx,browser-sdk
93d9ce71-4443-49f4-8a76-ea38b84b4161,getRecordings,/reference/video/room-session/get-recordings,browser-sdk\pages\latest\reference\video\RoomSession\methods\getrecordings.mdx,browser-sdk
a5564972-7576-41f6-8677-bb3b967922cb,getStreams,/reference/video/room-session/get-streams,browser-sdk\pages\latest\reference\video\RoomSession\methods\getstreams.mdx,browser-sdk
a4cc92ac-53d0-4d88-99c8-36e6b35995e1,hangupAll,/reference/video/room-session/hangup-all,browser-sdk\pages\latest\reference\video\RoomSession\methods\hangupall.mdx,browser-sdk
e954bda1-8965-45eb-b780-a79531a32757,hideVideoMuted,/reference/video/room-session/hide-video-muted,browser-sdk\pages\latest\reference\video\RoomSession\methods\hidevideomuted.mdx,browser-sdk
0c7d0aa9-a8bb-4370-93a0-7d14b2db0b43,join,/reference/video/room-session/join,browser-sdk\pages\latest\reference\video\RoomSession\methods\join.mdx,browser-sdk
b4b00a5e-4a22-4681-a53d-84127186ad59,leave,/reference/video/room-session/leave,browser-sdk\pages\latest\reference\video\RoomSession\methods\leave.mdx,browser-sdk
eb40ce98-24b9-4cd8-8b37-92bda0e1689e,lock,/reference/video/room-session/lock,browser-sdk\pages\latest\reference\video\RoomSession\methods\lock.mdx,browser-sdk
b02aad92-cf64-40b2-ae69-44cb2504a8c6,off,/reference/video/room-session/off,browser-sdk\pages\latest\reference\video\RoomSession\methods\off.mdx,browser-sdk
afa6d13e-53c3-4203-ab61-deb891bc1a22,on,/reference/video/room-session/on,browser-sdk\pages\latest\reference\video\RoomSession\methods\on.mdx,browser-sdk
67d77c2a-294b-41b7-b442-191415ddb41b,once,/reference/video/room-session/once,browser-sdk\pages\latest\reference\video\RoomSession\methods\once.mdx,browser-sdk
2b4320a5-9db0-4bef-834b-08f4d84fff15,play,/reference/video/room-session/play,browser-sdk\pages\latest\reference\video\RoomSession\methods\play.mdx,browser-sdk
dd0917b2-b1c6-4a7d-8542-e1df35fa40f8,promote,/reference/video/room-session/promote,browser-sdk\pages\latest\reference\video\RoomSession\methods\promote.mdx,browser-sdk
b99b7e08-682f-41ba-891a-502ffd65a622,removeAllListeners,/reference/video/room-session/remove-all-listeners,browser-sdk\pages\latest\reference\video\RoomSession\methods\removealllisteners.mdx,browser-sdk
5922f315-c141-4964-b732-3a0d2a89001b,removeAllMembers,/reference/video/room-session/remove-all-members,browser-sdk\pages\latest\reference\video\RoomSession\methods\removeallmembers.mdx,browser-sdk
0c002e78-a0a8-4065-9abb-9f3a89fcdbda,removeMember,/reference/video/room-session/remove-member,browser-sdk\pages\latest\reference\video\RoomSession\methods\removemember.mdx,browser-sdk
d1223d6b-4071-4cdc-91cf-1c567157057e,sendDigits,/reference/video/room-session/send-digits,browser-sdk\pages\latest\reference\video\RoomSession\methods\senddigits.mdx,browser-sdk
f84e1ddb-6f7a-4faf-824a-7801dc58ba19,setHideVideoMuted,/reference/video/room-session/set-hide-video-muted,browser-sdk\pages\latest\reference\video\RoomSession\methods\sethidevideomuted.mdx,browser-sdk
c5e78ad1-50de-4a0d-9ca9-4b39bba5c289,setInputSensitivity,/reference/video/room-session/set-input-sensitivity,browser-sdk\pages\latest\reference\video\RoomSession\methods\setinputsensitivity.mdx,browser-sdk
8f366f6e-e143-45c4-b0ad-751555a5be8e,setInputVolume,/reference/video/room-session/set-input-volume,browser-sdk\pages\latest\reference\video\RoomSession\methods\setinputvolume.mdx,browser-sdk
c08b952a-f803-4d75-b44d-67b575b04812,setLayout,/reference/video/room-session/set-layout,browser-sdk\pages\latest\reference\video\RoomSession\methods\setlayout.mdx,browser-sdk
e59ebafa-35d6-4c9b-b003-be766e6bbf2d,setLocalStream,/reference/video/room-session/set-local-stream,browser-sdk\pages\latest\reference\video\RoomSession\methods\setlocalstream.mdx,browser-sdk
ae7188d1-c221-4195-9f6a-9a5326f88b9e,setMemberMeta,/reference/video/room-session/set-member-meta,browser-sdk\pages\latest\reference\video\RoomSession\methods\setmembermeta.mdx,browser-sdk
5ae43e9c-5a9f-4588-9102-1a1e311aef3a,setMemberPosition,/reference/video/room-session/set-member-position,browser-sdk\pages\latest\reference\video\RoomSession\methods\setmemberposition.mdx,browser-sdk
b662ef15-6945-429c-ac9f-ef7f54350988,setMeta,/reference/video/room-session/set-meta,browser-sdk\pages\latest\reference\video\RoomSession\methods\setmeta.mdx,browser-sdk
ecd82b47-c8bf-4173-8c4d-8ff63c748dce,setOutputVolume,/reference/video/room-session/set-output-volume,browser-sdk\pages\latest\reference\video\RoomSession\methods\setoutputvolume.mdx,browser-sdk
1ac66cfd-4093-477c-ab15-636ed9636546,setPositions,/reference/video/room-session/set-positions,browser-sdk\pages\latest\reference\video\RoomSession\methods\setpositions.mdx,browser-sdk
e44cd298-7b32-4ee8-aa97-0bd824dd6a26,setPrioritizeHandraise,/reference/video/room-session/set-prioritize-handraise,browser-sdk\pages\latest\reference\video\RoomSession\methods\setprioritizehandraise.mdx,browser-sdk
8ec3f4b7-e10d-453f-92b8-f036e6da668a,setRaisedHand,/reference/video/room-session/set-raised-hand,browser-sdk\pages\latest\reference\video\RoomSession\methods\setraisedhand.mdx,browser-sdk
7d4d0073-a8ec-4c80-b4f5-c3e9f754b507,showVideoMuted,/reference/video/room-session/show-video-muted,browser-sdk\pages\latest\reference\video\RoomSession\methods\showvideomuted.mdx,browser-sdk
d8f68ef1-5232-4751-a121-35b58c71aec2,startRecording,/reference/video/room-session/start-recording,browser-sdk\pages\latest\reference\video\RoomSession\methods\startrecording.mdx,browser-sdk
f09b8220-8acc-4e19-b85d-c21bcf6b405b,startScreenShare,/reference/video/room-session/start-screen-share,browser-sdk\pages\latest\reference\video\RoomSession\methods\startscreenshare.mdx,browser-sdk
7cf6cebd-4ada-4e9b-a349-fd46f7b6e74a,startStream,/reference/video/room-session/start-stream,browser-sdk\pages\latest\reference\video\RoomSession\methods\startstream.mdx,browser-sdk
fe1f86ba-9cca-4aef-9382-bf6dbf5a8ef7,undeaf,/reference/video/room-session/undeaf,browser-sdk\pages\latest\reference\video\RoomSession\methods\undeaf.mdx,browser-sdk
c0ee5f97-3275-43b9-b77d-227538ac9086,unlock,/reference/video/room-session/unlock,browser-sdk\pages\latest\reference\video\RoomSession\methods\unlock.mdx,browser-sdk
66346ab2-684d-410e-a35d-0d2b5801252f,updateCamera,/reference/video/room-session/update-camera,browser-sdk\pages\latest\reference\video\RoomSession\methods\updatecamera.mdx,browser-sdk
d1d1280b-091f-4d90-b88f-af659ca36488,updateMemberMeta,/reference/video/room-session/update-member-meta,browser-sdk\pages\latest\reference\video\RoomSession\methods\updatemembermeta.mdx,browser-sdk
