old_url,status,matched_product,matched_slug,matched_new_slug,matched_file_path,matched_title
/compatibility-api/client-sdks/methods/recording-transcriptions/delete,unmatched,,,,,
/compatibility-api/client-sdks/methods/recording-transcriptions/list,unmatched,,,,,
/compatibility-api/client-sdks/methods/recording-transcriptions/retrieve,unmatched,,,,,
/compatibility-api/client-sdks/methods/recordings,unmatched,,,,,
/compatibility-api/client-sdks/methods/recordings/create,unmatched,,,,,
/compatibility-api/client-sdks/methods/recordings/delete,unmatched,,,,,
/compatibility-api/client-sdks/methods/recordings/list,unmatched,,,,,
/compatibility-api/client-sdks/methods/recordings/retrieve,unmatched,,,,,
/compatibility-api/client-sdks/methods/recordings/update,unmatched,,,,,
/compatibility-api/cxml,unmatched,,,,,
/compatibility-api/cxml/fax,unmatched,,,,,
/compatibility-api/cxml/fax/receive,unmatched,,,,,
/compatibility-api/cxml/fax/reject,unmatched,,,,,
/compatibility-api/cxml/messaging,unmatched,,,,,
/compatibility-api/cxml/messaging/message,unmatched,,,,,
/compatibility-api/cxml/messaging/redirect,unmatched,,,,,
/compatibility-api/cxml/stream-openai-realtime,unmatched,,,,,
/compatibility-api/cxml/voice,unmatched,,,,,
/compatibility-api/cxml/voice/conference-noun,unmatched,,,,,
/compatibility-api/cxml/voice/connect,unmatched,,,,,
/compatibility-api/cxml/voice/denoise,unmatched,,,,,
/compatibility-api/cxml/voice/dial,unmatched,,,,,
/compatibility-api/cxml/voice/echo,unmatched,,,,,
/compatibility-api/cxml/voice/enqueue,unmatched,,,,,
/compatibility-api/cxml/voice/gather,unmatched,,,,,
/compatibility-api/cxml/voice/hangup,unmatched,,,,,
/compatibility-api/cxml/voice/leave,unmatched,,,,,
/compatibility-api/cxml/voice/number-noun,unmatched,,,,,
/compatibility-api/cxml/voice/pause,unmatched,,,,,
/compatibility-api/cxml/voice/pay,unmatched,,,,,
/compatibility-api/cxml/voice/pay/parameter,unmatched,,,,,
/compatibility-api/cxml/voice/pay/prompt,unmatched,,,,,
/compatibility-api/cxml/voice/play,unmatched,,,,,
/compatibility-api/cxml/voice/queue-noun,unmatched,,,,,
/compatibility-api/cxml/voice/record,unmatched,,,,,
/compatibility-api/cxml/voice/redirect,unmatched,,,,,
/compatibility-api/cxml/voice/refer,unmatched,,,,,
/compatibility-api/cxml/voice/reject,unmatched,,,,,
/compatibility-api/cxml/voice/room-noun,unmatched,,,,,
/compatibility-api/cxml/voice/say,unmatched,,,,,
/compatibility-api/cxml/voice/sip-noun,unmatched,,,,,
/compatibility-api/cxml/voice/sms,unmatched,,,,,
/compatibility-api/cxml/voice/stream,unmatched,,,,,
/compatibility-api/cxml/voice/verto-noun,unmatched,,,,,
/compatibility-api/cxml/voice/virtualagent-noun,unmatched,,,,,
/compatibility-api/guides,unmatched,,,,,
/compatibility-api/guides/general,unmatched,,,,,
/compatibility-api/guides/general/calltext-by-proxy,unmatched,,,,,
/compatibility-api/guides/general/creating-and-using-cxml-scripts,unmatched,,,,,
/compatibility-api/guides/general/phone-numbers,unmatched,,,,,
/compatibility-api/guides/general/phone-numbers/how-to-purchase-numbers-in-bulk,unmatched,,,,,
/compatibility-api/guides/general/phone-numbers/how-to-update-webhooks-in-bulk,unmatched,,,,,
/compatibility-api/guides/general/phone-numbers/list-numbers-to-csv,unmatched,,,,,
/compatibility-api/guides/general/phone-numbers/release-numbers,unmatched,,,,,
/compatibility-api/guides/general/phone-numbers/release-project-numbers-based-off-csv,unmatched,,,,,
/compatibility-api/guides/general/phone-numbers/remove-all-landlines-from-your-recipient-list,unmatched,,,,,
/compatibility-api/guides/general/utilizing-mustache-templates,unmatched,,,,,
/compatibility-api/guides/messaging,unmatched,,,,,
/compatibility-api/guides/messaging/general,unmatched,,,,,
/compatibility-api/guides/messaging/general/handling-incoming-messages-from-code,unmatched,,,,,
/compatibility-api/guides/messaging/general/how-to-list-messages-filtered-by-multiple-from-numbers,unmatched,,,,,
/compatibility-api/guides/messaging/general/how-to-list-messages-with-a-specific-error-code-to-csv,unmatched,,,,,
/compatibility-api/guides/messaging/general/how-to-pull-undelivered-messages,unmatched,,,,,
/compatibility-api/guides/messaging/general/how-to-redact-messages-for-hippa-compliancy,unmatched,,,,,
/compatibility-api/guides/messaging/general/how-to-send-sms-from-google-sheets,unmatched,,,,,
/compatibility-api/guides/messaging/general/how-to-use-list-messages-api-to-get-pricing-for-a-date-range,unmatched,,,,,
/compatibility-api/guides/messaging/general/list-messages-to-csv-all-languages,unmatched,,,,,
/compatibility-api/guides/messaging/general/sms-status-callbacks,unmatched,,,,,
/compatibility-api/guides/messaging/python,unmatched,,,,,
/compatibility-api/guides/messaging/python/how-to-get-reply-statistics-with-python,unmatched,,,,,
/compatibility-api/guides/messaging/python/how-to-send-bulk-sms-from-customer-csv-with-python,unmatched,,,,,
/compatibility-api/guides/messaging/python/send-sms-from-the-browser-with-python-flask-and-html,unmatched,,,,,
/compatibility-api/guides/messaging/python/text-subscription,unmatched,,,,,
/compatibility-api/guides/messaging/python/text-to-email,unmatched,,,,,
/compatibility-api/guides/signalwire-status-callbacks,unmatched,,,,,
/compatibility-api/guides/signalwire-status-callbacks/10dlc-tcr-status-callbacks,unmatched,,,,,
/compatibility-api/guides/signalwire-status-callbacks/inbound-calls-status-callbacks,unmatched,,,,,
/compatibility-api/guides/signalwire-status-callbacks/recording-status-callbacks,unmatched,,,,,
/compatibility-api/guides/signalwire-status-callbacks/sms-status-callbacks,unmatched,,,,,
/compatibility-api/guides/signalwire-status-callbacks/transcription-status-callbacks,unmatched,,,,,
/compatibility-api/guides/signalwire-status-callbacks/voice-status-callbacks,unmatched,,,,,
/compatibility-api/guides/voice,unmatched,,,,,
/compatibility-api/guides/voice/general,unmatched,,,,,
/compatibility-api/guides/voice/general/gathering-user-input-from-code,unmatched,,,,,
/compatibility-api/guides/voice/general/handling-calls-from-code,unmatched,,,,,
/compatibility-api/guides/voice/general/how-to-deal-with-robocallers-inbound-spam,unmatched,,,,,
/compatibility-api/guides/voice/general/queues,unmatched,,,,,
/compatibility-api/guides/voice/general/setting-up-call-whispering-in-cxml,unmatched,,,,,
/compatibility-api/guides/voice/general/stopping-streams-with-rest-api,unmatched,,,,,
/compatibility-api/guides/voice/nodejs,unmatched,,,,,
/compatibility-api/guides/voice/nodejs/answering-machine-detection,unmatched,,,,,
/compatibility-api/guides/voice/nodejs/ivr-with-voicemail-to-email,unmatched,,,,,
/compatibility-api/guides/voice/nodejs/outbound-survey,unmatched,,,,,
/compatibility-api/guides/voice/nodejs/sip-voicemail,unmatched,,,,,
/compatibility-api/guides/voice/python,unmatched,,,,,
/compatibility-api/guides/voice/python/call-screening-block-list,unmatched,,,,,
/compatibility-api/guides/voice/python/dial-by-voice,unmatched,,,,,
/compatibility-api/guides/voice/python/dynamic-ivr-using-json-menus,unmatched,,,,,
/compatibility-api/guides/voice/python/execute-code-in-business-hours-only,unmatched,,,,,
/compatibility-api/guides/voice/python/full-contact-center,unmatched,,,,,
/compatibility-api/guides/voice/python/getting-detailed-price-summaries-about-calls,unmatched,,,,,
/compatibility-api/guides/voice/python/how-to-record-phone-calls,unmatched,,,,,
/compatibility-api/guides/voice/python/how-to-use-conferences,unmatched,,,,,
/compatibility-api/guides/voice/python/how-to-use-the-list-calls-api-to-get-statistics-python,unmatched,,,,,
/compatibility-api/guides/voice/python/list-calls-to-csv-all-languages,unmatched,,,,,
/compatibility-api/guides/voice/python/python-multichannel-banking-helper,unmatched,,,,,
/compatibility-api/guides/voice/python/python-survey-with-google-sheets,unmatched,,,,,
/compatibility-api/guides/voice/python/request-callback-in-a-queue,unmatched,,,,,
/compatibility-api/guides/voice/python/sentiment-analysis,unmatched,,,,,
/compatibility-api/guides/voice/python/sip-voicemail,unmatched,,,,,
/compatibility-api/guides/voice/python/two-factor-authentication,unmatched,,,,,
/compatibility-api/guides/voice/python/updating-conference-recordings,unmatched,,,,,
/compatibility-api/guides/voice/python/utilizing-websockets-and-call-streams,unmatched,,,,,
/compatibility-api/guides/voice/python/voice-api-statistics-to-pdf,unmatched,,,,,
/compatibility-api/guides/voice/python/voice-status-callbacks,unmatched,,,,,
/compatibility-api/guides/voice/python/voicemail-transcription,unmatched,,,,,
/compatibility-api/guides/voice/ruby,unmatched,,,,,
/compatibility-api/guides/voice/ruby/answering-machine-detection,unmatched,,,,,
/compatibility-api/guides/voice/ruby/multi-factor-authentication,unmatched,,,,,
/compatibility-api/guides/voice/ruby/ruby-reminder-calls,unmatched,,,,,
/compatibility-api/sdks,unmatched,,,,,
/demos/admin-assistant,unmatched,,,,,
/demos/ai-cal,unmatched,,,,,
/demos/bobbys-table,unmatched,,,,,
/demos/esp8266-sensor-bot,unmatched,,,,,
/demos/flos-flowers,unmatched,,,,,
/demos/flos-flowers-2,unmatched,,,,,
/demos/mfa,unmatched,,,,,
/demos/roomieserve,unmatched,,,,,
/demos/tier-1,unmatched,,,,,
/demos/weather-bot,unmatched,,,,,
/events/demos/server/room-service/menu,unmatched,,,,,
/fax/get-started,unmatched,,,,,
/fax/getting-started/first-steps-with-fax,unmatched,,,,,
/fax/getting-started/securing-callback-for-inbound-fax-with-cxml,unmatched,,,,,
/home/calling/voice/getting-started,unmatched,,,,,
/home/calling/voice/guides,unmatched,,,,,
/home/messaging/sms/guides,unmatched,,,,,
/home/platform/dashboard/administration,unmatched,,,,,
/internal,unmatched,,,,,
/internal/extras,unmatched,,,,,
/internal/extras/accordion,unmatched,,,,,
/internal/extras/card,unmatched,,,,,
/internal/extras/codegroup,unmatched,,,,,
/internal/extras/frame,unmatched,,,,,
/internal/extras/icons,unmatched,,,,,
/internal/extras/releasecard,unmatched,,,,,
/internal/extras/slideshow,unmatched,,,,,
/livewire/integrate-zendesk-signalwire-ai,unmatched,,,,,
/livewire/smart-biz-ai,unmatched,,,,,
/messaging/get-started,unmatched,,,,,
/messaging/getting-started/receiving-your-first-sms,unmatched,,,,,
/messaging/getting-started/sending-your-first-sms,unmatched,,,,,
/messaging/guides/campaign-registry,unmatched,,,,,
/messaging/guides/general,unmatched,,,,,
/page/tadhack-2024,unmatched,,,,,
/page/tadhack-2024/server/ai-cal,unmatched,,,,,
/page/tadhack-2024/server/esp8266-sensor-bot,unmatched,,,,,
/page/tadhack-2024/server/flos-flowers-2,unmatched,,,,,
/page/tadhack-2024/server/mfa,unmatched,,,,,
/page/tadhack-2024/server/restaurant-reservation,unmatched,,,,,
/page/tadhack-2024/server/room-service,unmatched,,,,,
/page/tadhack-2024/server/room-service/menu,unmatched,,,,,
/page/tadhack-2024/server/tier-1-support,unmatched,,,,,
/page/tadhack-2024/serverless,unmatched,,,,,
