old slug (from Docusaurus sitemap),currrent slug,NOTE
/rest/compatibility-api/endpoints/delete-queue,/compatibility-api/rest/queues/delete-queue,
/rest/compatibility-api/endpoints/list-queues,/compatibility-api/rest/queues/list-queues,
/rest/compatibility-api/endpoints/retrieve-queue,/compatibility-api/rest/queues/retrieve-queue,
/rest/compatibility-api/endpoints/update-queue,/compatibility-api/rest/queues/update-queue,
/rest/compatibility-api/endpoints/media,,
/rest/compatibility-api/endpoints/delete-message-media,/compatibility-api/rest/message-media/delete-message-media,
/rest/compatibility-api/endpoints/list-media,/compatibility-api/rest/message-media/list-media,
/rest/compatibility-api/endpoints/retrieve-media,/compatibility-api/rest/message-media/retrieve-media,
/rest/compatibility-api/endpoints/c-xml-bins,,
/rest/compatibility-api/endpoints/delete-cxml-application,/compatibility-api/rest/cxml-scripts/delete-cxml-script,
/rest/compatibility-api/endpoints/list-cxml-applications,/compatibility-api/rest/cxml-scripts/list-cxml-scripts,
/rest/compatibility-api/endpoints/retrieve-cxml-application,/compatibility-api/rest/cxml-scripts/retrieve-cxml-script,
/rest/compatibility-api/endpoints/update-cxml-application,/compatibility-api/rest/cxml-scripts/update-cxml-script,
/rest/compatibility-api/endpoints/create-cxml-application,/compatibility-api/rest/cxml-scripts/create-cxml-script,
/rest/compatibility-api/endpoints/create-imported-phone-number,/compatibility-api/rest/imported-phone-numbers/create-imported-phone-number,
/rest/compatibility-api/endpoints/fax-media,,
/rest/compatibility-api/endpoints/list-all-fax-media,/compatibility-api/rest/fax-media/list-all-fax-media,
/rest/compatibility-api/endpoints/delete-fax-media,/compatibility-api/rest/fax-media/delete-fax-media,
/rest/compatibility-api/endpoints/retrieve-medias,/compatibility-api/rest/fax-media/retrieve-medias,
/rest/compatibility-api/endpoints/faxes,,
/rest/compatibility-api/endpoints/list-all-faxes,/compatibility-api/rest/faxes/list-all-faxes,
/rest/compatibility-api/endpoints/retrieve-fax,/compatibility-api/rest/faxes/retrieve-fax,
/rest/compatibility-api/endpoints/send-fax,/compatibility-api/rest/faxes/send-fax,
/rest/compatibility-api/endpoints/update-fax,/compatibility-api/rest/faxes/update-fax,
/rest/compatibility-api/endpoints/delete-fax,/compatibility-api/rest/faxes/delete-fax,
/rest/compatibility-api/endpoints/conference-streams,,rename
/rest/compatibility-api/endpoints/update-conference-stream,/compatibility-api/rest/conference-streams/update-conference-stream,
/rest/compatibility-api/endpoints/create-conference-stream,/compatibility-api/rest/conference-streams/create-conference-stream,
/rest/signalwire-rest,,
/rest/signalwire-rest/endpoints,,
/rest/signalwire-rest/endpoints/calling,,
/rest/signalwire-rest/endpoints/calling/call-commands,/apis/calling/calls/call-commands,
/rest/signalwire-rest/endpoints/calling/calling-api,,
/rest/signalwire-rest/endpoints/calling/calls,,
/rest/signalwire-rest/endpoints/chat,,
/rest/signalwire-rest/endpoints/chat/chat-api,,
/rest/signalwire-rest/endpoints/chat/chat-tokens-create,/apis/chat/tokens/create-chat-token,
/rest/signalwire-rest/endpoints/chat/tokens,,
/rest/signalwire-rest/endpoints/datasphere,,
/rest/signalwire-rest/endpoints/datasphere/chunks,,
/rest/signalwire-rest/endpoints/datasphere/chunks-delete,/apis/datasphere/chunks/delete-document-chunk,
/rest/signalwire-rest/endpoints/datasphere/chunks-get,/apis/datasphere/chunks/get-document-chunk,
/rest/signalwire-rest/endpoints/datasphere/chunks-list,/apis/datasphere/chunks/list-document-chunks,
/rest/signalwire-rest/endpoints/datasphere/datasphere-api,,
/rest/signalwire-rest/endpoints/datasphere/documents,,
/rest/signalwire-rest/endpoints/datasphere/documents-create,/apis/datasphere/documents/create-document,
/rest/signalwire-rest/endpoints/datasphere/documents-delete,/apis/datasphere/documents/delete-document,
/rest/signalwire-rest/endpoints/datasphere/documents-list,/apis/datasphere/documents/list-documents,
/rest/signalwire-rest/endpoints/datasphere/documents-search,/apis/datasphere/documents/search-documents,
/rest/signalwire-rest/endpoints/datasphere/documents-update,/apis/datasphere/documents/update-document,
/rest/signalwire-rest/endpoints/fabric,,
/rest/signalwire-rest/endpoints/fabric/ai-agent-addresses-list,/apis/fabric/ai-agents-custom/list-ai-agent-addresses,
/rest/signalwire-rest/endpoints/fabric/ai-agents-create,/apis/fabric/ai-agents-custom/create-ai-agent,
/rest/signalwire-rest/endpoints/fabric/ai-agents-custom,,
/rest/signalwire-rest/endpoints/fabric/ai-agents-delete,/apis/fabric/ai-agents-custom/delete-ai-agent,
