source_file,product,slug,broken_link,type
"products/swml/pages/reference/methods/bedrock/swaig/index.mdx","swml","/reference/amazon-bedrock/swaig","./includes/index.mdx","mdx-path"
"products/swml/pages/reference/methods/cond.mdx","swml","/reference/cond","./index.mdx","mdx-path"
"products/swml/pages/reference/methods/denoise.mdx","swml","/reference/denoise","./stop_denoise.mdx","mdx-path"
"products/swml/pages/reference/methods/execute.mdx","swml","/reference/execute","./return.mdx","mdx-path"
"products/swml/pages/reference/methods/label.mdx","swml","/reference/label","./goto.mdx","mdx-path"
"products/swml/pages/reference/methods/receive_fax.mdx","swml","/reference/receive-fax","./execute.mdx","mdx-path"
"products/swml/pages/reference/methods/record.mdx","swml","/reference/record","./record_call.mdx","mdx-path"
"products/swml/pages/reference/methods/record_call.mdx","swml","/reference/record-call","./record.mdx","mdx-path"
"products/swml/pages/reference/methods/record_call.mdx","swml","/reference/record-call","./stop_record_call.mdx","mdx-path"
"products/swml/pages/reference/methods/set.mdx","swml","/reference/set","./unset.mdx","mdx-path"
"products/swml/pages/reference/methods/stop_denoise.mdx","swml","/reference/stop-denoise","./denoise.mdx","mdx-path"
"products/swml/pages/reference/methods/unset.mdx","swml","/reference/unset","./set.mdx","mdx-path"
